Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
AC-2019-46,10744.0,186.82996,8.554356,-751.60004,1.0
AC-2019-47,10938.0,143.26138,8.031724,-4946.886,1.0
AC-2019-48,11670.0,182.806,7.95467,168.09665,1.0
AC-2019-49,10521.0,192.90439,8.557266,-2671.6975,1.0
AC-2019-0,10267.0,212.17113,0.0,NaN,0.0
AC-2019-1,9894.0,238.13402,0.0,NaN,0.0
AC-2019-2,10009.0,236.07832,0.0,NaN,0.0
AC-2019-3,10662.0,205.93565,9.014725,3393.0415,1.0
AC-2019-4,10127.0,224.85416,8.573121,-6040.936,1.0
AC-2019-5,9118.0,310.43835,7.9105067,6305.7554,1.0
AC-2019-6,8788.0,357.21906,8.083068,5302.8325,1.0
AC-2019-7,9687.0,216.67688,8.362651,-12495.2,1.0
AC-2019-8,9062.0,323.50186,8.061024,7143.2173,1.0
AC-2019-9,8675.0,329.61993,7.742709,1628.1315,1.0
AC-2019-10,8969.0,314.001,8.139481,7102.0283,1.0
AC-2019-11,8858.0,333.03522,8.301648,7592.954,1.0
AC-2019-12,9341.0,328.39523,7.9288087,8060.482,1.0
AC-2019-13,9016.0,312.90384,8.222826,8146.9062,1.0
AC-2019-14,8822.0,315.1069,7.9904785,4804.3237,1.0
AC-2019-15,8943.0,284.54736,7.8683887,4685.0195,1.0
AC-2019-16,8508.0,323.78796,8.039727,2826.985,1.0
AC-2019-17,8784.0,314.4423,8.083333,5273.353,1.0
AC-2019-18,8471.0,355.96613,7.827175,781.8257,1.0
AC-2019-19,9903.0,196.12178,8.579219,-8053.518,1.0
AC-2019-20,9906.0,203.09833,8.542398,-8426.781,1.0
AC-2019-21,10612.0,173.95947,8.201564,-5813.6694,1.0
AC-2019-22,9882.0,207.15614,8.122748,-13352.602,1.0
AC-2019-23,9407.0,256.56778,8.035718,9402.116,1.0
AC-2019-24,11387.0,150.29533,8.625538,5400.829,1.0
AC-2019-25,9857.0,210.44121,8.0373335,12523.503,1.0
AC-2019-26,10509.0,165.20706,8.483776,-3573.9397,1.0
AC-2019-27,9564.0,192.22899,8.413425,-13124.968,1.0
AC-2019-28,9814.0,181.21887,8.7823515,-6707.9907,1.0
AC-2019-29,9715.0,190.35501,8.710345,-8413.096,1.0
AC-2019-30,9696.0,181.92378,8.474319,-11159.607,1.0
AC-2019-31,9699.0,173.50212,8.113929,12082.892,1.0
AC-2019-32,10362.0,155.19263,7.799749,-12713.5,1.0
AC-2019-33,10164.0,161.48584,7.8366785,12906.795,1.0
AC-2019-34,10126.0,169.76862,8.123642,-11055.914,1.0
AC-2019-35,9932.0,176.44463,8.675997,-6701.5063,1.0
AC-2019-36,9911.0,172.67854,8.628493,-7430.3994,1.0
AC-2019-37,9879.0,192.42413,7.9731755,12143.048,1.0
AC-2019-38,10132.0,194.04501,8.42884,-7558.8975,1.0
AC-2019-39,9766.0,181.6368,8.150317,12864.818,1.0
AC-2019-40,10041.0,174.38582,7.983866,13316.805,1.0
AC-2019-41,10135.0,206.00247,8.133991,-10857.203,1.0
AC-2019-42,10299.0,210.45636,8.01068,-10781.951,1.0
AC-2019-43,10248.0,193.0522,8.136026,-9803.518,1.0
AC-2019-44,11156.0,177.40302,8.538724,2559.927,1.0
AC-2019-45,10712.0,180.87611,8.037435,-6821.3687,1.0
AC-2019-46,10744.0,186.82996,8.554356,-751.60004,1.0
AC-2019-47,10938.0,143.26138,8.031724,-4946.886,1.0
AC-2019-48,11670.0,182.806,7.95467,168.09665,1.0
AC-2019-49,10521.0,192.90439,8.557266,-2671.6975,1.0
AC-2019-0,10267.0,212.17113,0.0,NaN,0.0
AC-2019-1,9894.0,238.13402,0.0,NaN,0.0
AC-2019-2,10009.0,236.07832,0.0,NaN,0.0
AC-2019-3,10662.0,205.93565,9.014725,3393.0415,1.0
AC-2019-4,10127.0,224.85416,8.573121,-6040.936,1.0
AC-2019-5,9118.0,310.43835,7.9105067,6305.7554,1.0
AC-2019-6,8788.0,357.21906,8.083068,5302.8325,1.0
AC-2019-7,9687.0,216.67688,8.362651,-12495.2,1.0
AC-2019-8,9062.0,323.50186,8.061024,7143.2173,1.0
AC-2019-9,8675.0,329.61993,7.742709,1628.1315,1.0
AC-2019-10,8969.0,314.001,8.139481,7102.0283,1.0
AC-2019-11,8858.0,333.03522,8.301648,7592.954,1.0
AC-2019-12,9341.0,328.39523,7.9288087,8060.482,1.0
AC-2019-13,9016.0,312.90384,8.222826,8146.9062,1.0
AC-2019-14,8822.0,315.1069,7.9904785,4804.3237,1.0
AC-2019-15,8943.0,284.54736,7.8683887,4685.0195,1.0
AC-2019-16,8508.0,323.78796,8.039727,2826.985,1.0
AC-2019-17,8784.0,314.4423,8.083333,5273.353,1.0
AC-2019-18,8471.0,355.96613,7.827175,781.8257,1.0
AC-2019-19,9903.0,196.12178,8.579219,-8053.518,1.0
AC-2019-20,9906.0,203.09833,8.542398,-8426.781,1.0
AC-2019-21,10612.0,173.95947,8.201564,-5813.6694,1.0
AC-2019-22,9882.0,207.15614,8.122748,-13352.602,1.0
AC-2019-23,9407.0,256.56778,8.035718,9402.116,1.0
AC-2019-24,11387.0,150.29533,8.625538,5400.829,1.0
AC-2019-25,9857.0,210.44121,8.0373335,12523.503,1.0
AC-2019-26,10509.0,165.20706,8.483776,-3573.9397,1.0
AC-2019-27,9564.0,192.22899,8.413425,-13124.968,1.0
AC-2019-28,9814.0,181.21887,8.7823515,-6707.9907,1.0
AC-2019-29,9715.0,190.35501,8.710345,-8413.096,1.0
AC-2019-30,9696.0,181.92378,8.474319,-11159.607,1.0
AC-2019-31,9699.0,173.50212,8.113929,12082.892,1.0
AC-2019-32,10362.0,155.19263,7.799749,-12713.5,1.0
AC-2019-33,10164.0,161.48584,7.8366785,12906.795,1.0
AC-2019-34,10126.0,169.76862,8.123642,-11055.914,1.0
AC-2019-35,9932.0,176.44463,8.675997,-6701.5063,1.0
AC-2019-36,9911.0,172.67854,8.628493,-7430.3994,1.0
AC-2019-37,9879.0,192.42413,7.9731755,12143.048,1.0
AC-2019-38,10132.0,194.04501,8.42884,-7558.8975,1.0
AC-2019-39,9766.0,181.6368,8.150317,12864.818,1.0
AC-2019-40,10041.0,174.38582,7.983866,13316.805,1.0
AC-2019-41,10135.0,206.00247,8.133991,-10857.203,1.0
AC-2019-42,10299.0,210.45636,8.01068,-10781.951,1.0
AC-2019-43,10248.0,193.0522,8.136026,-9803.518,1.0
AC-2019-44,11156.0,177.40302,8.538724,2559.927,1.0
AC-2019-45,10712.0,180.87611,8.037435,-6821.3687,1.0
AC-2019-46,10744.0,186.82996,8.554356,-751.60004,1.0
AC-2019-47,10938.0,143.26138,8.031724,-4946.886,1.0
AC-2019-48,11670.0,182.806,7.95467,168.09665,1.0
AC-2019-49,10521.0,192.90439,8.557266,-2671.6975,1.0
AC-2019-0,10267.0,212.17113,0.0,NaN,0.0
AC-2019-1,9894.0,238.13402,0.0,NaN,0.0
AC-2019-2,10009.0,236.07832,0.0,NaN,0.0
AC-2019-3,10662.0,205.93565,9.014725,3393.0415,1.0
AC-2019-4,10127.0,224.85416,8.573121,-6040.936,1.0
AC-2019-5,9118.0,310.43835,7.9105067,6305.7554,1.0
AC-2019-6,8788.0,357.21906,8.083068,5302.8325,1.0
AC-2019-7,9687.0,216.67688,8.362651,-12495.2,1.0
AC-2019-8,9062.0,323.50186,8.061024,7143.2173,1.0
AC-2019-9,8675.0,329.61993,7.742709,1628.1315,1.0
AC-2019-10,8969.0,314.001,8.139481,7102.0283,1.0
AC-2019-11,8858.0,333.03522,8.301648,7592.954,1.0
AC-2019-12,9341.0,328.39523,7.9288087,8060.482,1.0
AC-2019-13,9016.0,312.90384,8.222826,8146.9062,1.0
AC-2019-14,8822.0,315.1069,7.9904785,4804.3237,1.0
AC-2019-15,8943.0,284.54736,7.8683887,4685.0195,1.0
AC-2019-16,8508.0,323.78796,8.039727,2826.985,1.0
AC-2019-17,8784.0,314.4423,8.083333,5273.353,1.0
AC-2019-18,8471.0,355.96613,7.827175,781.8257,1.0
AC-2019-19,9903.0,196.12178,8.579219,-8053.518,1.0
AC-2019-20,9906.0,203.09833,8.542398,-8426.781,1.0
AC-2019-21,10612.0,173.95947,8.201564,-5813.6694,1.0
AC-2019-22,9882.0,207.15614,8.122748,-13352.602,1.0
AC-2019-23,9407.0,256.56778,8.035718,9402.116,1.0
AC-2019-24,11387.0,150.29533,8.625538,5400.829,1.0
AC-2019-25,9857.0,210.44121,8.0373335,12523.503,1.0
AC-2019-26,10509.0,165.20706,8.483776,-3573.9397,1.0
AC-2019-27,9564.0,192.22899,8.413425,-13124.968,1.0
AC-2019-28,9814.0,181.21887,8.7823515,-6707.9907,1.0
AC-2019-29,9715.0,190.35501,8.710345,-8413.096,1.0
AC-2019-30,9696.0,181.92378,8.474319,-11159.607,1.0
AC-2019-31,9699.0,173.50212,8.113929,12082.892,1.0
AC-2019-32,10362.0,155.19263,7.799749,-12713.5,1.0
AC-2019-33,10164.0,161.48584,7.8366785,12906.795,1.0
AC-2019-34,10126.0,169.76862,8.123642,-11055.914,1.0
AC-2019-35,9932.0,176.44463,8.675997,-6701.5063,1.0
AC-2019-36,9911.0,172.67854,8.628493,-7430.3994,1.0
AC-2019-37,9879.0,192.42413,7.9731755,12143.048,1.0
AC-2019-38,10132.0,194.04501,8.42884,-7558.8975,1.0
AC-2019-39,9766.0,181.6368,8.150317,12864.818,1.0
AC-2019-40,10041.0,174.38582,7.983866,13316.805,1.0
AC-2019-41,10135.0,206.00247,8.133991,-10857.203,1.0
AC-2019-42,10299.0,210.45636,8.01068,-10781.951,1.0
AC-2019-43,10248.0,193.0522,8.136026,-9803.518,1.0
AC-2019-44,11156.0,177.40302,8.538724,2559.927,1.0
AC-2019-45,10712.0,180.87611,8.037435,-6821.3687,1.0
AC-2019-46,10744.0,186.82996,8.554356,-751.60004,1.0
AC-2019-47,10938.0,143.26138,8.031724,-4946.886,1.0
AC-2019-48,11670.0,182.806,7.95467,168.09665,1.0
AC-2019-49,10521.0,192.90439,8.557266,-2671.6975,1.0
AC-2019-0,10267.0,212.17113,0.0,NaN,0.0
AC-2019-1,9894.0,238.13402,0.0,NaN,0.0
AC-2019-2,10009.0,236.07832,0.0,NaN,0.0
AC-2019-3,10662.0,205.93565,9.014725,3393.0415,1.0
AC-2019-4,10127.0,224.85416,8.573121,-6040.936,1.0
AC-2019-5,9118.0,310.43835,7.9105067,6305.7554,1.0
AC-2019-6,8788.0,357.21906,8.083068,5302.8325,1.0
AC-2019-7,9687.0,216.67688,8.362651,-12495.2,1.0
AC-2019-8,9062.0,323.50186,8.061024,7143.2173,1.0
AC-2019-9,8675.0,329.61993,7.742709,1628.1315,1.0
AC-2019-10,8969.0,314.001,8.139481,7102.0283,1.0
AC-2019-11,8858.0,333.03522,8.301648,7592.954,1.0
AC-2019-12,9341.0,328.39523,7.9288087,8060.482,1.0
AC-2019-13,9016.0,312.90384,8.222826,8146.9062,1.0
AC-2019-14,8822.0,315.1069,7.9904785,4804.3237,1.0
AC-2019-15,8943.0,284.54736,7.8683887,4685.0195,1.0
AC-2019-16,8508.0,323.78796,8.039727,2826.985,1.0
AC-2019-17,8784.0,314.4423,8.083333,5273.353,1.0
AC-2019-18,8471.0,355.96613,7.827175,781.8257,1.0
AC-2019-19,9903.0,196.12178,8.579219,-8053.518,1.0
AC-2019-20,9906.0,203.09833,8.542398,-8426.781,1.0
AC-2019-21,10612.0,173.95947,8.201564,-5813.6694,1.0
AC-2019-22,9882.0,207.15614,8.122748,-13352.602,1.0
AC-2019-23,9407.0,256.56778,8.035718,9402.116,1.0
AC-2019-24,11387.0,150.29533,8.625538,5400.829,1.0
AC-2019-25,9857.0,210.44121,8.0373335,12523.503,1.0
AC-2019-26,10509.0,165.20706,8.483776,-3573.9397,1.0
AC-2019-27,9564.0,192.22899,8.413425,-13124.968,1.0
AC-2019-28,9814.0,181.21887,8.7823515,-6707.9907,1.0
AC-2019-29,9715.0,190.35501,8.710345,-8413.096,1.0
AC-2019-30,9696.0,181.92378,8.474319,-11159.607,1.0
AC-2019-31,9699.0,173.50212,8.113929,12082.892,1.0
AC-2019-32,10362.0,155.19263,7.799749,-12713.5,1.0
AC-2019-33,10164.0,161.48584,7.8366785,12906.795,1.0
AC-2019-34,10126.0,169.76862,8.123642,-11055.914,1.0
AC-2019-35,9932.0,176.44463,8.675997,-6701.5063,1.0
AC-2019-36,9911.0,172.67854,8.628493,-7430.3994,1.0
AC-2019-37,9879.0,192.42413,7.9731755,12143.048,1.0
AC-2019-38,10132.0,194.04501,8.42884,-7558.8975,1.0
AC-2019-39,9766.0,181.6368,8.150317,12864.818,1.0
AC-2019-40,10041.0,174.38582,7.983866,13316.805,1.0
AC-2019-41,10135.0,206.00247,8.133991,-10857.203,1.0
AC-2019-42,10299.0,210.45636,8.01068,-10781.951,1.0
AC-2019-43,10248.0,193.0522,8.136026,-9803.518,1.0
AC-2019-44,11156.0,177.40302,8.538724,2559.927,1.0
AC-2019-45,10712.0,180.87611,8.037435,-6821.3687,1.0
AC-2019-46,10744.0,186.82996,8.554356,-751.60004,1.0
AC-2019-47,10938.0,143.26138,8.031724,-4946.886,1.0
AC-2019-48,11670.0,182.806,7.95467,168.09665,1.0
AC-2019-49,10521.0,192.90439,8.557266,-2671.6975,1.0
